,p_1,p_2,vol_1,vol_2
0,1,0,0.249091016629,0.00890870806375
1,1,0,0.24936193949,0.00890870806375
2,1,0,0.241261528901,0.00890870806375
3,1,0,0.239639753683,0.00890870806375
4,1,0,0.251442676721,0.00890870806375
5,1,0,0.243244866007,0.00890870806375
6,1,0,0.235457779871,0.00890870806375
7,1,0,0.23338690924,0.00890870806375
8,1,0,0.230922888887,0.00890870806375
9,1,0,0.224113251024,0.00890870806375
10,1,0,0.221464801117,0.00890870806375
11,1,0,0.215088527269,0.00890870806375
12,1,0,0.209401906557,0.00890870806375
13,1,0,0.203747202684,0.00890870806375
14,1,0,0.197979601346,0.00890870806375
15,1,0,0.19370919089,0.00890870806375
16,1,0,0.200292692953,0.00890870806375
17,1,0,0.194733728477,0.00890870806375
18,1,0,0.189814005025,0.00890870806375
19,1,0,0.193605848362,0.00890870806375
20,1,0,0.191220437476,0.00890870806375
21,1,0,0.186417073266,0.00890870806375
22,1,0,0.18171135336,0.00890870806375
23,1,0,0.182730808655,0.00890870806375
24,1,0,0.178842137678,0.00890870806375
25,1,0,0.175399970718,0.00890870806375
26,1,0,0.171183932502,0.00890870806375
27,1,0,0.167388626359,0.00890870806375
28,1,0,0.164982961851,0.00890870806375
29,1,0,0.161413848892,0.00890870806375
30,1,0,0.16887022261,0.00890870806375
31,1,0,0.171788464554,0.00890870806375
32,1,0,0.203846163037,0.00890870806375
33,1,0,0.199020872382,0.00890870806375
34,1,0,0.193611764452,0.00890870806375
35,1,0,0.189106756297,0.00890870806375
36,1,0,0.18423612008,0.00890870806375
37,1,0,0.182890124684,0.00890870806375
38,1,0,0.186619254041,0.00890870806375
39,1,0,0.181934355636,0.00890870806375
40,1,0,0.17769941001,0.00890870806375
41,1,0,0.173356866534,0.00890870806375
42,1,0,0.169713879043,0.00890870806375
43,1,0,0.177150929044,0.00890870806375
44,1,0,0.176097715152,0.00890870806375
45,1,0,0.18458239632,0.00890870806375
46,1,0,0.179999151225,0.00890870806375
47,1,0,0.176515627683,0.00890870806375
48,1,0,0.176413368464,0.00890870806375
49,1,0,0.177911299683,0.00890870806375
50,1,0,0.175726374667,0.00890870806375
51,1,0,0.172276101802,0.00890870806375
52,1,0,0.170351669683,0.00890870806375
53,1,0,0.166673567858,0.00890870806375
54,1,0,0.170151409277,0.00890870806375
55,1,0,0.166239547339,0.00890870806375
56,1,0,0.166964063291,0.00890870806375
57,1,0,0.163909627103,0.00890870806375
58,1,0,0.16137991045,0.00890870806375
59,1,0,0.16903491303,0.00890870806375
60,1,0,0.166338316647,0.00890870806375
61,1,0,0.164302171878,0.00890870806375
62,1,0,0.166587013754,0.00890870806375
63,1,0,0.162900567465,0.00890870806375
64,1,0,0.159775796718,0.00890870806375
65,1,0,0.156699316291,0.00890870806375
66,1,0,0.157584255967,0.00890870806375
67,1,0,0.155054911531,0.00890870806375
68,1,0,0.158221342226,0.00890870806375
